aubrey_identifier,display_title,dc_description,dc_subject
ark:/67531/metapth240826,Cutting Horse Competition: Image 1991_D-224_02,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240827,Cutting Horse Competition: Image 1991_D-224_03,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240828,Cutting Horse Competition: Image 1991_D-224_04,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240829,Cutting Horse Competition: Image 1991_D-224_05,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240830,Cutting Horse Competition: Image 1991_D-224_06,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240831,Cutting Horse Competition: Image 1991_D-224_07,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240832,Cutting Horse Competition: Image 1991_D-224_08,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240833,Cutting Horse Competition: Image 1991_D-224_09,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240834,Cutting Horse Competition: Image 1991_D-224_10,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240835,Cutting Horse Competition: Image 1991_D-224_11,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240836,Cutting Horse Competition: Image 1991_D-224_12,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240837,Cutting Horse Competition: Image 1991_D-225_01,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240838,Cutting Horse Competition: Image 1991_D-225_02,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240839,Cutting Horse Competition: Image 1991_D-225_03,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240840,Cutting Horse Competition: Image 1991_D-225_04,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240841,Cutting Horse Competition: Image 1991_D-225_05,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240842,Cutting Horse Competition: Image 1991_D-225_06,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240843,Cutting Horse Competition: Image 1991_D-225_07,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240844,Cutting Horse Competition: Image 1991_D-225_08,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240845,Cutting Horse Competition: Image 1991_D-225_09,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240846,Cutting Horse Competition: Image 1991_D-225_10,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240847,Cutting Horse Competition: Image 1991_D-225_11,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240848,Cutting Horse Competition: Image 1991_D-225_12,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240849,Cutting Horse Competition: Image 1991_D-226_01,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240850,Cutting Horse Competition: Image 1991_D-226_02,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240851,Cutting Horse Competition: Image 1991_D-226_03,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240852,Cutting Horse Competition: Image 1991_D-226_04,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240853,Cutting Horse Competition: Image 1991_D-226_05,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240854,Cutting Horse Competition: Image 1991_D-226_06,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240855,Cutting Horse Competition: Image 1991_D-226_07,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240856,Cutting Horse Competition: Image 1991_D-226_08,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240857,Cutting Horse Competition: Image 1991_D-226_09,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240858,Cutting Horse Competition: Image 1991_D-226_10,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240859,Cutting Horse Competition: Image 1991_D-226_11,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240860,Cutting Horse Competition: Image 1991_D-226_12,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240861,Cutting Horse Competition: Image 1991_D-227_01,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240862,Cutting Horse Competition: Image 1991_D-227_02,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240863,Cutting Horse Competition: Image 1991_D-227_03,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240864,Cutting Horse Competition: Image 1991_D-227_04,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240865,Cutting Horse Competition: Image 1991_D-227_05,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240866,Cutting Horse Competition: Image 1991_D-227_06,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240867,Cutting Horse Competition: Image 1991_D-227_07,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240868,Cutting Horse Competition: Image 1991_D-227_08,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240869,Cutting Horse Competition: Image 1991_D-227_09,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240870,Cutting Horse Competition: Image 1991_D-227_10,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240871,Cutting Horse Competition: Image 1991_D-227_11,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240872,Cutting Horse Competition: Image 1991_D-227_12,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240873,Cutting Horse Competition: Image 1991_D-228_01,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240874,Cutting Horse Competition: Image 1991_D-228_02,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240875,Cutting Horse Competition: Image 1991_D-228_03,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240876,Cutting Horse Competition: Image 1991_D-228_04,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240877,Cutting Horse Competition: Image 1991_D-228_05,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240878,Cutting Horse Competition: Image 1991_D-228_06,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240879,Cutting Horse Competition: Image 1991_D-228_07,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240880,Cutting Horse Competition: Image 1991_D-228_08,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240881,Cutting Horse Competition: Image 1991_D-228_09,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240882,Cutting Horse Competition: Image 1991_D-228_10,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240883,Cutting Horse Competition: Image 1991_D-228_11,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240884,Cutting Horse Competition: Image 1991_D-228_12,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240885,Cutting Horse Competition: Image 1991_D-229_01,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240886,Cutting Horse Competition: Image 1991_D-229_02,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240887,Cutting Horse Competition: Image 1991_D-229_03,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240888,Cutting Horse Competition: Image 1991_D-229_04,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240889,Cutting Horse Competition: Image 1991_D-229_05,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240890,Cutting Horse Competition: Image 1991_D-229_06,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240891,Cutting Horse Competition: Image 1991_D-229_07,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240892,Cutting Horse Competition: Image 1991_D-229_08,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240893,Cutting Horse Competition: Image 1991_D-229_09,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
ark:/67531/metapth240894,Cutting Horse Competition: Image 1991_D-22_01,"Photograph of competitors in the 1991 National Cutting Horse Association Summer Cutting Spectacular held at Will Rogers Coliseum in Fort Worth\, Texas.","Social Life and Customs - Clubs and Organizations - National Cutting Horse Association,derbies,Sports and Recreation - Riding - Horses,NCHA,horse shows,Agriculture - Domestic Animals,Cutting horses -- Competitions -- Texas -- Fort Worth."
